Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
18111;Félix Ziem - Armand Gauthier;OUI;25;20;5;2;3;OUI;OUI;2023-11-05T20:43:19+01:00;Paris
12031;Gabriel Lamé;OUI;36;6;29;29;0;OUI;OUI;2023-11-05T20:42:21+01:00;Paris
9002;Abbeville - Faubourg Poissonnière;OUI;14;9;3;1;2;OUI;OUI;2023-11-05T20:38:44+01:00;Paris
7018;Ségur - d'Estrées;OUI;19;1;18;12;6;OUI;OUI;2023-11-05T20:43:33+01:00;Paris
48003;Youri Gagarine - Karl Marx;OUI;22;20;1;0;1;OUI;OUI;2023-11-05T20:39:34+01:00;Villejuif
9106;Boudreau - Auber;OUI;14;14;0;0;0;OUI;OUI;2023-11-05T20:39:07+01:00;Paris
16110;Octave Feuillet - Albéric Magnard;OUI;21;17;4;1;3;OUI;OUI;2023-11-05T20:42:13+01:00;Paris
21323;Charlot - Stade Gabriel Voisin;OUI;31;11;20;18;2;OUI;OUI;2023-11-05T20:42:56+01:00;Issy-les-Moulineaux
14002;Edgar Quinet - Raspail;OUI;46;45;1;0;1;OUI;OUI;2023-11-05T20:42:48+01:00;Paris
11046;Place de la République - Voltaire;OUI;19;2;17;16;1;OUI;OUI;2023-11-05T20:43:15+01:00;Paris
43009;Place Jean-Spire-Lemaître;OUI;50;25;25;20;5;OUI;OUI;2023-11-05T20:43:46+01:00;Vincennes
8201;Arsène Houssaye - Friedland;OUI;29;27;2;1;1;OUI;OUI;2023-11-05T20:35:57+01:00;Paris
17032;Jean Oestreicher - Porte de Champerret;OUI;21;19;2;2;0;OUI;OUI;2023-11-05T20:43:09+01:00;Paris
18134;Ney - Porte de Clignancourt;OUI;25;25;0;0;0;NON;NON;2023-11-05T20:39:04+01:00;Paris
10162;Alexandre Parodi - Quai de Valmy;OUI;24;18;5;3;2;OUI;OUI;2023-11-05T20:33:41+01:00;Paris
9038;Douai - Bruxelles;OUI;27;23;4;0;4;OUI;OUI;2023-11-05T20:39:57+01:00;Paris
10029;Dunkerque - Rocroy;OUI;24;22;1;0;1;OUI;OUI;2023-11-05T20:41:42+01:00;Paris
8009;Gare Saint-Lazare - Isly;OUI;27;26;0;0;0;OUI;OUI;2023-11-05T20:42:52+01:00;Paris
5005;Gay Lussac - Saint-Jacques;OUI;24;20;3;0;3;OUI;OUI;2023-11-05T20:42:33+01:00;Paris
31103;Gare Rosny-Bois-Perrier;OUI;36;2;34;7;27;OUI;OUI;2023-11-05T20:40:14+01:00;Rosny-sous-Bois
41303;Gare de Nogent-le-Perreux;OUI;32;6;24;18;6;OUI;OUI;2023-11-05T20:39:36+01:00;Nogent-sur-Marne
17008;Porte Pouchet-Bessières;OUI;23;16;6;5;1;OUI;OUI;2023-11-05T20:40:14+01:00;Paris
7011;Las Cases - Bourgogne;OUI;22;20;1;1;0;OUI;OUI;2023-11-05T20:41:26+01:00;Paris
31706;Château - République;OUI;26;20;4;1;3;OUI;OUI;2023-11-05T20:38:41+01:00;Bagnolet
5022;Boulangers - Cardinal Lemoine;OUI;20;9;11;9;2;OUI;OUI;2023-11-05T20:43:42+01:00;Paris
22409;Henri Barbusse - Stalingrad;OUI;16;11;3;0;3;OUI;OUI;2023-11-05T20:42:53+01:00;Malakoff
21328;Verger - Colonel Guichard;OUI;29;22;6;1;5;OUI;OUI;2023-11-05T20:34:43+01:00;Issy-les-Moulineaux
5020;Institut du Monde Arabe - Saint-Germain;OUI;40;25;7;5;2;OUI;OUI;2023-11-05T20:41:49+01:00;Paris
